,0,1,2,3,4,5,6,7,8,9,micro avg,macro avg,weighted avg
f1-score,0.2923809523809524,0.4348521183053557,0.12196812196812197,0.13770913770913773,0.13963963963963963,0.0916955017301038,0.13793103448275862,0.1886099203919167,0.141785957736878,0.13933849401829698,0.205625,0.18259108783631614,0.18411521666162595
precision,0.23152337858220212,0.3281061519903498,0.1368584758942457,0.14881780250347706,0.16258741258741258,0.12709832134292565,0.16161616161616163,0.1859903381642512,0.16429699842022116,0.16229508196721312,0.205625,0.18091901230684598,0.18183741918711607
recall,0.39664082687338503,0.6445497630331753,0.11,0.1281437125748503,0.12236842105263158,0.07171853856562922,0.12030075187969924,0.19130434782608696,0.12470023980815348,0.1220715166461159,0.205625,0.20317981182597267,0.205625
support,774.0,844.0,800.0,835.0,760.0,739.0,798.0,805.0,834.0,811.0,8000.0,8000.0,8000.0
