,0,1,2,3,4,5,6,7,8,9,micro avg,macro avg,weighted avg
f1-score,0.14130434782608697,0.20944402132520942,0.10747051114023591,0.12569316081330867,0.0879284649776453,0.08120035304501325,0.10389610389610389,0.1292200232828871,0.0962566844919786,0.10868031051517289,0.127125,0.11910939813136419,0.12067538798042729
precision,0.13340935005701254,0.15714285714285714,0.11598302687411598,0.12577065351418001,0.10120068610634649,0.10454545454545454,0.11242603550295859,0.13105076741440377,0.10271041369472182,0.12664473684210525,0.127125,0.1210883981694156,0.1218368870401286
recall,0.15019255455712452,0.3139269406392694,0.10012210012210013,0.12561576354679804,0.077733860342556,0.06637806637806638,0.096569250317662,0.12743972445464982,0.09056603773584905,0.09517923362175525,0.127125,0.12437235317158306,0.127125
support,779.0,876.0,819.0,812.0,759.0,693.0,787.0,871.0,795.0,809.0,8000.0,8000.0,8000.0
