precision,recall,F1,accuracy
0.15171670253920932,0.2521880608280608,0.1624090939391497,0.256625
0.29645941462776865,0.34292015392015385,0.2653138243339507,0.343375
0.11341231174694572,0.16006743034743026,0.08785487401726633,0.167625
0.31091462101984574,0.2072342213342213,0.17022011188226316,0.216375
0.4986696598706292,0.42799501387501404,0.38970313731861383,0.437625
0.48191342227343587,0.41816556653223313,0.3679762946198445,0.422125
0.6312932969834091,0.5633794038060704,0.5282756260777839,0.57125
0.6535974095838806,0.611997768897769,0.5727038434651528,0.615375
0.6553514506744886,0.5828927166660501,0.5423879444522782,0.590125
0.6716603993964861,0.5242680985680986,0.4970724223720437,0.524
0.6255841674402739,0.516796547896548,0.4798213371857943,0.512625
0.8277786964669316,0.8156843256743258,0.7959428316501725,0.816875
0.7818206108340742,0.6862075346875347,0.6709170664761411,0.68375
0.8059399579134913,0.7333264113664113,0.712706632933369,0.736375
0.7913647133911842,0.7318181884781886,0.7112450889049279,0.731875
0.8191673537573537,0.7953580086580088,0.7766900464828919,0.793625
0.843037735387343,0.8223460068326733,0.8096742954193428,0.822125
0.682305753790986,0.6149929625929629,0.5707853012576721,0.615125
0.8533987945387945,0.8384821067821069,0.8253497523159723,0.838
0.8428179100637924,0.8305485396955988,0.809828240595377,0.835875
0.8783721966200295,0.8591060445436917,0.8497432041646705,0.858625
0.8924502075702075,0.8888083205683205,0.878670469907858,0.888625
0.8800393469275821,0.8693485114885112,0.8579449279826898,0.8685
0.811071052669616,0.7300956749423414,0.7205769285050299,0.732375
0.8519788232392154,0.8327342605542606,0.8164443567203303,0.831875
0.8959038006438008,0.896682013542014,0.8845189577554652,0.892
0.8422834578997429,0.8011742736276068,0.7877068926098331,0.80375
0.9044044078144075,0.9060656943056945,0.8963477304994679,0.906375
0.8876267662402958,0.87522658008658,0.8671830174646593,0.87825
0.8827726732526731,0.877376610549944,0.8664096619039017,0.8785
0.8652247034447035,0.8512627449094112,0.8391603826560529,0.852875
0.9138653428053426,0.9127865897065899,0.9049153008601704,0.914875
0.9133773137973138,0.9095289355089359,0.9026522316910343,0.911875
0.8903331790431789,0.8889542279942279,0.8798021626342907,0.88975
0.9172809437476103,0.9186261323861326,0.9105536657307245,0.916125
0.9044145165945168,0.9016722551522554,0.8940994268268635,0.90575
0.9211845327511993,0.9223816911483577,0.9148518665693477,0.92125
0.9087331701631699,0.9093048995448992,0.9002400153137452,0.909625
0.9265099955599952,0.9249185059385063,0.9192777715399064,0.92275
0.9196856743256742,0.9207692507492508,0.9132137435909687,0.923125
0.8740705625238958,0.8692123200256535,0.8562818322896186,0.8705
0.9193517534317541,0.920107951307951,0.9120977965615891,0.918625
0.9221499522699522,0.9242733344433345,0.9157917716652243,0.92325
0.9186976179376177,0.9229796336996335,0.9127135085123369,0.91975
0.9204660295260295,0.9216198201798202,0.914272703351936,0.922625
0.923370680924014,0.9212463309529981,0.9152318609569988,0.922125
0.9151624824558159,0.9147567114367107,0.9065011130860067,0.91675
0.9170202220002219,0.9154468353868351,0.9086589038192232,0.916
0.9213529423300012,0.9189856215389544,0.9124105292514806,0.921625
0.9169553812853811,0.9193828005328004,0.9104155987462244,0.921125
